Number,First Name,Last Name,Email Address,Department,Division,Completed On,Respondent IP,Employee Commitment and Satisfaction:ECS_Q1,Employee Commitment and Satisfaction:ECS_Q2,Employee Commitment and Satisfaction:ECS_Q3,Employee Commitment and Satisfaction:ECS_Q4,Employee Commitment and Satisfaction:ECS_Q5,Employee Commitment and Satisfaction:ECS_Q6,Workplace Environment and Culture:WEC_Q1,Workplace Environment and Culture:WEC_Q2,Workplace Environment and Culture:WEC_Q3,Workplace Environment and Culture:WEC_Q4,Workplace Environment and Culture:WEC_Q5,Compensation & Benefits:CB_Q1,Compensation & Benefits:CB_Q2,Compensation & Benefits:CB_Q3,Compensation & Benefits:CB_Q4,Performance Management:PM_Q1,Performance Management:PM_Q2,Performance Management:PM_Q3,Performance Management:PM_Q4,Performance Management:PM_Q5,Performance Management:PM_Q6,Performance Management:PM_Q7,Career Development and Training:CDT_Q1,Career Development and Training:CDT_Q2,Career Development and Training:CDT_Q3,Career Development and Training:CDT_Q4,Career Development and Training:CDT_Q5,Career Development and Training:CDT_Q6,Communications:COMM_Q1,Communications:COMM_Q2,Communications:COMM_Q3,Communications:COMM_Q4,Team Effectiveness:TE_Q1,Team Effectiveness:TE_Q2,Team Effectiveness:TE_Q3,Team Effectiveness:TE_Q4,Team Effectiveness:TE_Q5,Job Stress:JS_Q1,Job Stress:JS_Q2,Job Stress:JS_Q3,Company Image:CI_Q1,Company Image:CI_Q2,Company Image:CI_Q3,Company Image:CI_Q4,Strategy:STRAT_Q1,Strategy:STRAT_Q2,Strategy:STRAT_Q3,"On a scale of zero to ten, how likely is it that you would recommend Company to friends as a great place to work?",What 2-3 things do you value most about working at Company?,What 2-3 things should Company begin to do?,What 2-3 things should Company stop doing?,Please provide suggestions for ongoing improvement to the performance feedback process.
10000197,FNAME198,LNAME198,,Inside Sales,Marketing/Sales,3/3/2017 12:26,100.000.000.197,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,10,"The thing I value most, is my co-workers. Everyone is willing to help out and support one another, which makes the work environment both professional, energetic, and enjoyable.",,,
10000198,FNAME199,LNAME199,,Inside Sales,Marketing/Sales,3/3/2017 12:25,100.000.000.198,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,The people and environment.,,,
10000199,FNAME200,LNAME200,,Finance,Corporate,3/3/2017 13:01,100.000.000.199,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,"The team work.
The ability to be cross trained.
The accessibility of management.",,,
10000200,FNAME201,LNAME201,,Field Operations,Southeast Region,3/8/2017 16:50,100.000.000.200,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,"- My job security

-The good working conditions

- Working with a great team.","-Match 401 K
-Better pay rates",avoid using service partners that are not really committed to the job,look for service partners that are punctual and responsibles with the job. so Company's good reputation can grow.
10000201,FNAME202,LNAME202,,National Operations,Operations,3/3/2017 13:44,100.000.000.201,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,10,I value the trust placed in me which allows me to work independently while still being part of the best team,Will think on this and come back to it.,pending,
10000202,FNAME203,LNAME203,,Field Operations,Southeast Region,3/3/2017 15:05,100.000.000.202,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,I appreciate the communication and teamwork we've been to develop in our team. My manager is continuously communicating with me with regards to the expectations we have within the organization.,"match 401k, pay rise or bonuses for meeting or exceeding our goals",,
10000203,FNAME204,LNAME204,,Center of Excellence,Shared Services,3/3/2017 19:13,100.000.000.203,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Disagree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,7,"Challenging and interesting work
Great colleagues to work with 
Leadership in CoE are very good","Offer much better health benefits package to employees
Offer company matching with the 401K 

Work on minimizing mishaps/errors in production (procedures)
Simplify procedures required such as billing for ECS clients to minimize errors
Enhance processes (IT?) that will make it easier and more accurate for clients to order transcripts and  book online",,
10000204,FNAME205,LNAME205,,Production,Operations,3/3/2017 19:03,100.000.000.204,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,8,things I mostly value at Company is the ability to learn about the production part of the Whole system that is laid out for us here at Company. To be able to produce great product and to make sure that each Job has all the information that is requested for that Job!,,,
10000205,FNAME206,LNAME206,,Order Management,Shared Services,3/3/2017 18:52,100.000.000.205,Somewhat Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Agree,Agree,Somewhat Agree,5,The change that Terrie is bringing with holding people accountable,"Educate all employees about the entire process from start to end (most people still contact incorrect departments for requests)

Train management on essentials like communication, conflict resolution, etc","- Limiting job growth by rotating same people at the top
-Accepting poor performance from individuals in a leadership position",Need more interdepartmental meetings for understanding and clarity
10000206,FNAME207,LNAME207,,National Operations,Operations,3/6/2017 9:12,100.000.000.206,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,8,1.people 2. job,don't see nothing,do see nothing,don't see nothing
10000207,FNAME208,LNAME208,,Field Operations,Northwest Region,3/6/2017 15:44,100.000.000.207,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Disagree,2,"The members of my team. 
Company's determination to succeed.","Improve communication.
Focus on consistency.
More training for COE.",,
10000208,FNAME209,LNAME209,,Production,Operations,3/6/2017 19:19,100.000.000.208,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,9,I learned how to teach this job to new employees and how depositions are handled.,-Match 401k with what employees put in.,N/A,
10000209,FNAME210,LNAME210,,Field Operations,Northwest Region,3/6/2017 19:42,100.000.000.209,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,10,"The opportunity the company has provided me
The work is challenging and interesting
My pay is enabling me to meet my financial goals","Company is already making progress in these areas:

Education and training so everyone is clear about their duties and how to accomplish them
Better and effective communication between departments to fulfill client needs
Continue to tighten up CoE procedures",Stop using Unlimited Languages for interpreting services,"Make sure merit increase information is communicated effectively.  Since it was not discussed during performance reviews, no discussions or explanations about merit increases received were had at all in some instances in 2016, which led to some confusion and in some cases dissatisfaction."
10000210,FNAME211,LNAME211,,Production,Operations,3/6/2017 19:32,100.000.000.210,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,9,THE ENVIRONMENT AND THE PEOPLE,,,
10000211,FNAME212,LNAME212,,Field Operations,Southwest Region,3/6/2017 19:56,100.000.000.211,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,5,,,,
10000212,FNAME213,LNAME213,,Field Operations,Southwest Region,3/6/2017 20:35,100.000.000.212,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Agree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,9,,,,
10000213,FNAME214,LNAME214,,Center of Excellence,Shared Services,3/6/2017 22:37,100.000.000.213,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,"I appreciate that we are a very versatile company.  Things change daily, and it trains all of the employees to adapt to those changes. 

I enjoy my team.  I think with a few more tweaks and changes, we will be a great team. 

There is a wealth of knowledge across the company, and I hope one day to learn alot of it.","There are a lot of Netsuite changes that could be made to make certain processes more efficient. 

Engage the field staff with the COE  more. 

Have a national Company Function where everyone can meet each other.","I think as a company, we need to get clear communication on billing and what products we bill for.  Things change so often, and little communication is sent out about it.","I think the process we have in Talent Quest is good now, Perhaps provide feedback more often from managers/supervisors."
10000214,FNAME215,LNAME215,,Production,Operations,3/7/2017 6:23,100.000.000.214,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,6,,n/a,n/a,n/a
10000215,FNAME216,LNAME216,,Field Operations,Southeast Region,3/7/2017 7:05,100.000.000.215,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,7,,,,
10000216,FNAME217,LNAME217,,Onboarding/Case Management,Shared Services,3/7/2017 14:30,100.000.000.216,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,10,"The great team I get to work with each day.

Learn something new all the time and can relate to our role.","Train people in mutliple roles.  This will help when others are on vacation,",,
10000217,FNAME218,LNAME218,,Field Operations,Northwest Region,3/7/2017 16:03,100.000.000.217,Somewhat Agree,Disagree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,7,"I value my team
My growth",,,My answers were based on the management of my office in 2016. we have a new OM & sales team and believe we are headed in the right direction
10000218,FNAME219,LNAME219,,Finance,Corporate,3/7/2017 16:32,100.000.000.218,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,5,,,,
10000219,FNAME220,LNAME220,,Field Operations,Northeast Region,3/7/2017 19:14,100.000.000.219,Agree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,7,"Best place to learn something new every day
Every day has a new set of challenges to help solve problems and an opportunities to make someone's day
Team members that take their jobs seriously and actually care about getting it right","Promote from within
Acknowledge those that have worked above and beyond their scopes of responsibility and offer raises and even a genuine thank you's to those who are in the trenches working hard day in and day out - a thank you truly goes a long way
Physical in person training for Sales People and new hires that supports getting it right 
Compensate salaried employees for working after hours within reason","Creating processes without including those that would be involved in actually handling the new processes
Hiring & promoting individuals with little to no industry experience","Offer constructive feedback
Communicate process changes and include the local office staff in conversations that could help make processes better and offer suggestions - have those doing the work feel like they have been part of the big picture and feel like they have a voice and are being listened to

Train Train Train!"
10000220,FNAME221,LNAME221,,Field Operations,Southeast Region,3/8/2017 15:45,100.000.000.220,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,7,"I can always learn something new.
I enjoy my co-workers.","Recognize their good employees.
Management should lead by example.
Match 401K.",Continue working with people that gives bad reputation to the company.,"Set realistic expectations for employees.
Reward accordingly the good employees."
10000221,FNAME222,LNAME222,,Field Operations,Northeast Region,3/8/2017 16:17,100.000.000.221,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,8,"Company's technology, information sharing and the drive towards uniformity among offices","have upper management touch base with service partners more often, make the portal more user friendly for the SP's, send appreciation gift cards to the reporters",,
10000222,FNAME223,LNAME223,,Field Operations,Northwest Region,3/9/2017 19:57,100.000.000.222,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,5,,,,
10000223,FNAME224,LNAME224,,Field Sales,Southeast Region,3/10/2017 11:56,100.000.000.223,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,6,,"Recognize team players and employees. 
Provide actual opportunities for career growth. 
Pay according to company standards.","Micro managing 
Promoting people with no experience 
Not listening to employees who have experience",
10000224,FNAME225,LNAME225,,Field Operations,Northwest Region,3/10/2017 12:30,100.000.000.224,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,8,Good communication between employees and hardworking etiquette to meet goals.,"More instruction on company goals and how to meet them, and keep updates on the progress of Company so we know what's working and what could maybe be changed.",N/A,"Some questions are a little vague, could make a little more descriptive in order for quicker response time."
10000225,FNAME226,LNAME226,,IT,Corporate,3/10/2017 11:45,100.000.000.225,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,5,,,"1
2",
10000226,FNAME227,LNAME227,,Field Sales,Central Region,3/10/2017 11:56,100.000.000.226,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,I value the encouragement and support I receive from senior management and the collaborative efforts of my coworkers to work together as a team toward achieving our revenue goals.,"Employee retention is key to developing close knit relationships and a team environment with coworkers (as well as avoiding the disruptions/morale issues associated with high turnover rates).  Building relationships among teams within the company would also be great to share resources and encourage loyalty to the company (for example, a yearly event with all outside sales reps in the company to come together and meet one another, discuss strategies, share connections, etc).","Although I appreciate the information in our weekly sales development calls, I think time may be more efficiently spent with less weekly calls and more time for meetings (while still giving reps the opportunity to go to confluence on their own to access materials and information when needed).  Maybe a monthly or even biweekly call would be more efficient.",I am happy to see Company taking an interest in employee feedback and I encourage management to continue doing so!
